CityCode,City,Year,population,gdp
110000,北京市,2003,1148.8199,36631000
120000,天津市,2003,926,24476600
130100,石家庄市,2003,910.51001,13779438
130200,唐山市,2003,706.28003,12953220
130300,秦皇岛市,2003,273.29001,3870301
130400,邯郸市,2003,857.09003,7625607
130500,邢台市,2003,667.44,5146061
130600,保定市,2003,1076.98,9248071
130700,张家口市,2003,450.41,3199369
130800,承德市,2003,359.06,2349782
130900,沧州市,2003,680.16998,6288615
131000,廊坊市,2003,387.23999,5285451
131100,衡水市,2003,413.35001,3967576
140100,太原市,2003,327.39999,5157089
140200,大同市,2003,295.92001,2515415
140300,阳泉市,2003,125.68,1259180
140400,长治市,2003,316.78,2556615
140500,晋城市,2003,211.83,1985067
140600,朔州市,2003,141.96001,1185962
140700,晋中市,2003,304.73001,2034428
140800,运城市,2003,487.78,2936189
140900,忻州市,2003,294.92999,1093822
141000,临汾市,2003,411.39999,2953034
141100,吕梁市,2003,349.72,1349617
150100,呼和浩特市,2003,213.89,4062029
150200,包头市,2003,238.13,4501914
150300,乌海市,2003,41.599998,676298
150400,赤峰市,2003,447.29999,2424821
150500,通辽市,2003,309.29999,2381544
150600,鄂尔多斯市,2003,135.97,2713973
150701,海拉尔,2003,269.70001,2132626
150800,巴彦淖尔市,2003,176.13,1513733
150900,乌兰察布市,2003,270.60001,1553002
210100,沈阳市,2003,689.09998,16033795
210200,大连市,2003,560.15997,16325900
210300,鞍山市,2003,345.28,7903681
210400,抚顺市,2003,225.47,3148388
210500,本溪市,2003,156.58,2346594
210600,丹东市,2003,241.22,2329453
210700,锦州市,2003,307.47,2817002
210800,营口市,2003,229.2,2533800
210900,阜新市,2003,193.02,1030302
211000,辽阳市,2003,182.35001,2387762
211100,盘锦市,2003,124.39,3380089
211200,铁岭市,2003,299.44,1765242
211300,朝阳市,2003,336.5,1198189
211400,葫芦岛市,2003,271.42999,2400291
220100,长春市,2003,718.22998,13380369
220200,吉林市,2003,431.60001,6001038
220300,四平市,2003,326.67001,2313066
220400,辽源市,2003,124.2,816105
220500,通化市,2003,226.22,1923723
220600,白山市,2003,132.97,1098582
220700,松原市,2003,279.42999,2271321
220800,白城市,2003,200.82001,1233531
230100,哈尔滨市,2003,954.31,14147991
230200,齐齐哈尔市,2003,541.08002,3501690
230300,鸡西市,2003,194.5,1691294
230400,鹤岗市,2003,110.58,880058
230500,双鸭山市,2003,150.84,1148876
230600,大庆市,2003,257.89999,11256009
230700,伊春市,2003,130.03,950709
230800,佳木斯市,2003,244.73,2008599
230900,七台河市,2003,87.440002,796885
231000,牡丹江市,2003,270.01999,2669036
231100,黑河市,2003,173.55,971388
232300,绥化市,2003,555.5,3498974
310000,上海市,2003,1341.77,62508100
320100,南京市,2003,572.22998,15763300
320200,无锡市,2003,442.54001,19012200
320300,徐州市,2003,908.65997,9057900
320400,常州市,2003,346.22,9014200
320500,苏州市,2003,590.96997,28015600
320600,南通市,2003,777.62,10067100
320700,连云港市,2003,467.82999,3449236
320800,淮安市,2003,519.91998,4206400
320900,盐城市,2003,796.51001,7433900
321000,扬州市,2003,453.60999,6472200
321100,镇江市,2003,267.19,6405100
321200,泰州市,2003,503.66,5800400
321300,宿迁市,2003,517.26001,2781900
330100,杭州市,2003,642.78003,20997744
330200,宁波市,2003,549.07001,17868542
330300,温州市,2003,742.28003,12264424
330400,嘉兴市,2003,332.95999,8580276
330500,湖州市,2003,256.78,4907516
330600,绍兴市,2003,433.84,10892802
330700,金华市,2003,449.91,8016023
330800,衢州市,2003,244.83,2337312
330900,舟山市,2003,97.120003,1722656
331000,台州市,2003,552.60999,9950324
331100,丽水市,2003,249.39999,2202878
340100,合肥市,2003,456.60001,4849623
340200,芜湖市,2003,223.82001,2848538
340300,蚌埠市,2003,344.92999,2081442
340400,淮南市,2003,211.84,1705041
340500,马鞍山市,2003,124.09,1925237
340600,淮北市,2003,203.94,1324689
340700,铜陵市,2003,70.910004,1030449
340800,安庆市,2003,605.20001,3204307
341000,黄山市,2003,146.91,1084187
341100,滁州市,2003,432.94,3005000
341200,阜阳市,2003,904.09998,2168607
341300,宿州市,2003,563.09998,2199287
341400,巢湖市,2003,453.29999,2482739
341500,六安市,2003,669.5,2090680
341600,毫州市,2003,539.22998,1832512
341700,池州市,2003,154.91,755027
341800,宣城市,2003,274.82999,2031763
350100,福州市,2003,604.85999,13476759
350200,厦门市,2003,141.75999,7596934
350300,莆田市,2003,301.84,2627554
350400,三明市,2003,267.66,3206821
350500,泉州市,2003,662.62,13801105
350600,漳州市,2003,453.92999,6033969
350700,南平市,2003,304.47,2826381
350800,龙岩市,2003,286.72,2943962
350900,宁德市,2003,325.81,2698690
360100,南昌市,2003,450.76999,6410248
360200,景德镇市,2003,148.3,1406910
360300,萍乡市,2003,177.74001,1428645
360400,九江市,2003,460.07999,3067749
360500,新余市,2003,109.35,1091000
360600,鹰潭市,2003,109.97,797237
360700,赣州市,2003,831.20001,3450595
360800,吉安市,2003,462.60999,2067244
360900,宜春市,2003,522.27002,2494974
361000,抚州市,2003,376.10999,1684110
361100,上饶市,2003,657.38,2527563
370100,济南市,2003,582.56,13653256
370200,青岛市,2003,720.67999,17804200
370300,淄博市,2003,413.14001,10033800
370400,枣庄市,2003,363.76001,3832400
370500,东营市,2003,176.81,6960800
370600,烟台市,2003,645.82001,13160000
370700,潍坊市,2003,847.71002,10300000
370800,济宁市,2003,798.89001,8826100
370900,泰安市,2003,547.65002,6040700
371000,威海市,2003,247.63,8360200
371100,日照市,2003,278.48001,3116700
371200,莱芜市,2003,123.88,1700500
371300,临沂市,2003,1011.05,8346000
371400,德州市,2003,546.02002,5566800
371500,聊城市,2003,563.76001,4541900
371600,滨州市,2003,366.14999,4065000
371700,菏泽市,2003,874.46997,2901000
410100,郑州市,2003,661.07001,11022770
410200,开封市,2003,476.70001,2820917
410300,洛阳市,2003,638.78998,6863165
410400,平顶山市,2003,489.10999,3656628
410500,安阳市,2003,533.14001,3617866
410600,鹤壁市,2003,146.31,1222482
410700,新乡市,2003,556.73999,3789452
410800,焦作市,2003,340.19,3414205
410900,濮阳市,2003,362.13,2650299
411000,许昌市,2003,445.88,4116846
411100,漯河市,2003,259.20001,2215676
411200,三门峡市,2003,220.89999,2245634
411300,南阳市,2003,1054.38,7241573
411400,商丘市,2003,831.02002,3397493
411500,信阳市,2003,785.70001,3471173
411600,周口市,2003,1074.6801,4034625
411700,驻马店市,2003,826.31,3457143
420100,武汉市,2003,781.19,16621797
420200,黄石市,2003,253.81,2736400
420300,十堰市,2003,340.64001,2423400
420500,宜昌市,2003,396.89001,4913566
420600,襄樊市,2003,578.53998,5033100
420700,鄂州市,2003,104.33,1257000
420800,荆门市,2003,300.60001,3275115
420900,孝感市,2003,508.91,3435500
421000,荆州市,2003,647.79999,3899800
421100,黄冈市,2003,724.70001,3872350
421200,咸宁市,2003,278.32001,1736800
421300,随州市,2003,257.44,1568800
430100,长沙市,2003,601.76001,9294858
430200,株洲市,2003,373.60001,3830868
430300,湘潭市,2003,282.03,2676868
430400,衡阳市,2003,713.90002,4454628
430500,邵阳市,2003,732.34998,2850856
430600,岳阳市,2003,527.83002,4951877
430700,常德市,2003,600.20001,4865833
430800,张家界市,2003,157.42999,819087
430900,益阳市,2003,456.51001,2396731
431000,郴州市,2003,455.26999,3242609
431100,永州市,2003,570.65002,2803566
431200,怀化市,2003,492.92001,2496138
431300,娄底市,2003,403.89001,2112509
440100,广州市,2003,725.19,34968787
440200,韶关市,2003,314.85001,2680300
440300,深圳市,2003,150.92999,28954070
440400,珠海市,2003,82.019997,4732742
440500,汕头市,2003,484.64001,5269693
440600,佛山市,2003,344.23999,13815951
440700,江门市,2003,381.98001,7300825
440800,湛江市,2003,713.94,5209716
440900,茂名市,2003,668.12,6572548
441200,肇庆市,2003,392.64999,4663914
441300,惠州市,2003,286.35999,5909772
441400,梅州市,2003,490.60001,2270363
441500,汕尾市,2003,306.39999,1869331
441600,河源市,2003,334.13,1368518
441700,阳江市,2003,259.53,2328630
441800,清远市,2003,389.97,1967999
441900,东莞市,2003,158.96001,9479654
442000,中山市,2003,137.86,5014043
445100,潮州市,2003,249,2364556
445200,揭阳市,2003,590.53998,4878432
445300,云浮市,2003,261.28,2147012
450100,南宁市,2003,614.66998,5025271
450200,柳州市,2003,351.26001,3266706
450300,桂林市,2003,490.47,3882878
450400,梧州市,2003,293.69,1619978
450500,北海市,2003,146.77,1401429
