data_id,treat,age,education,black,hispanic,married,nodegree,re75,re78,re74
Lalonde Sample,1,37,11,1,0,1,1,0,9930.0459,
Lalonde Sample,1,22,9,0,1,0,1,0,3595.894,
Lalonde Sample,1,30,12,1,0,0,0,0,24909.449,
Lalonde Sample,1,27,11,1,0,0,1,0,7506.146,
Lalonde Sample,1,33,8,1,0,0,1,0,289.78989,
Lalonde Sample,1,22,9,1,0,0,1,0,4056.4939,
Lalonde Sample,1,23,12,1,0,0,0,0,0,
Lalonde Sample,1,32,11,1,0,0,1,0,8472.1582,
Lalonde Sample,1,22,16,1,0,0,0,0,2164.022,
Lalonde Sample,1,33,12,0,0,1,0,0,12418.07,
Lalonde Sample,1,19,9,1,0,0,1,0,8173.9082,
Lalonde Sample,1,21,13,1,0,0,0,0,17094.641,
Lalonde Sample,1,18,8,1,0,0,1,0,0,
Lalonde Sample,1,27,10,1,0,1,1,0,18739.93,
Lalonde Sample,1,17,7,1,0,0,1,0,3023.8789,
Lalonde Sample,1,19,10,1,0,0,1,0,3228.5029,
Lalonde Sample,1,27,13,1,0,0,0,0,14581.86,
Lalonde Sample,1,23,10,1,0,0,1,0,7693.3999,
Lalonde Sample,1,40,12,1,0,0,0,0,10804.32,
Lalonde Sample,1,26,12,1,0,0,0,0,10747.35,
Lalonde Sample,1,23,11,1,0,0,1,0,0,
Lalonde Sample,1,41,14,0,0,0,0,0,5149.501,
Lalonde Sample,1,38,9,0,0,0,1,0,6408.9502,
Lalonde Sample,1,24,11,1,0,0,1,0,1991.4,
Lalonde Sample,1,33,11,1,0,0,1,7867.916,6281.4331,
Lalonde Sample,1,18,10,1,0,0,1,0,11163.17,
Lalonde Sample,1,29,11,1,0,1,1,0,9642.999,
Lalonde Sample,1,25,11,1,0,0,1,0,9897.0488,
Lalonde Sample,1,27,10,0,1,0,1,0,11142.87,
Lalonde Sample,1,17,10,1,0,0,1,0,16218.04,
Lalonde Sample,1,24,11,1,0,0,1,0,995.7002,
Lalonde Sample,1,17,10,1,0,0,1,0,0,
Lalonde Sample,1,26,11,1,0,1,1,2754.646,26372.279,
Lalonde Sample,1,48,4,1,0,0,1,0,6551.5918,
Lalonde Sample,1,25,11,1,0,1,1,0,1574.424,
Lalonde Sample,1,20,12,1,0,0,0,0,0,
Lalonde Sample,1,25,12,1,0,0,0,0,3191.7529,
Lalonde Sample,1,42,14,1,0,0,0,0,20505.93,
Lalonde Sample,1,25,5,1,0,0,1,0,6181.8799,
Lalonde Sample,1,23,12,1,0,1,0,0,5911.5508,
Lalonde Sample,1,46,8,1,0,1,1,0,3094.156,
Lalonde Sample,1,24,10,1,0,0,1,0,0,
Lalonde Sample,1,21,12,1,0,0,0,0,1254.582,
Lalonde Sample,1,19,9,0,0,0,1,0,13188.83,
Lalonde Sample,1,17,8,1,0,0,1,0,8061.4849,
Lalonde Sample,1,18,8,0,1,1,1,0,2787.96,
Lalonde Sample,1,20,11,1,0,0,1,0,3972.54,
Lalonde Sample,1,25,11,1,0,1,1,0,0,
Lalonde Sample,1,17,8,1,0,0,1,0,0,
Lalonde Sample,1,17,9,1,0,0,1,0,0,
Lalonde Sample,1,25,5,1,0,0,1,0,12187.41,
Lalonde Sample,1,23,12,1,0,0,0,0,4843.1758,
Lalonde Sample,1,28,8,1,0,0,1,0,0,
Lalonde Sample,1,31,11,1,0,1,1,0,8087.4868,
Lalonde Sample,1,18,11,1,0,0,1,0,0,
Lalonde Sample,1,25,12,1,0,0,0,0,2348.9729,
Lalonde Sample,1,30,11,1,0,1,1,0,590.7818,
Lalonde Sample,1,17,10,1,0,0,1,0,0,
Lalonde Sample,1,37,9,1,0,0,1,0,1067.506,
Lalonde Sample,1,41,4,1,0,1,1,0,7284.9858,
Lalonde Sample,1,42,14,1,0,1,0,0,13167.52,
Lalonde Sample,1,22,11,0,0,0,1,0,1048.432,
Lalonde Sample,1,17,8,1,0,0,1,0,0,
Lalonde Sample,1,29,8,1,0,0,1,0,1923.938,
Lalonde Sample,1,28,10,1,0,0,1,2836.5061,3196.571,
Lalonde Sample,1,35,10,1,0,0,1,0,4666.2358,
Lalonde Sample,1,27,11,1,0,0,1,0,549.2984,
Lalonde Sample,1,29,4,1,0,0,1,0,762.91461,
Lalonde Sample,1,28,9,1,0,0,1,0,10694.29,
Lalonde Sample,1,27,11,1,0,0,1,0,0,
Lalonde Sample,1,23,7,0,0,0,1,0,0,
Lalonde Sample,1,45,5,1,0,1,1,0,8546.7148,
Lalonde Sample,1,29,13,1,0,0,0,0,7479.6558,
Lalonde Sample,1,27,9,1,0,0,1,0,0,
Lalonde Sample,1,46,13,1,0,0,0,0,647.20459,
Lalonde Sample,1,18,6,1,0,0,1,0,0,
Lalonde Sample,1,25,12,1,0,0,0,0,11965.81,
Lalonde Sample,1,28,15,1,0,0,0,0,9598.541,
Lalonde Sample,1,31,9,1,0,0,1,1698.6071,10363.27,
Lalonde Sample,1,25,11,0,0,0,1,0,18783.35,
Lalonde Sample,1,22,12,1,0,0,0,0,18678.08,
Lalonde Sample,1,28,11,1,0,0,1,1284.079,60307.93,
Lalonde Sample,1,21,9,1,0,0,1,0,0,
Lalonde Sample,1,40,11,1,0,0,1,0,23005.6,
Lalonde Sample,1,22,11,1,0,0,1,0,6456.6968,
Lalonde Sample,1,25,12,1,0,0,0,0,0,
Lalonde Sample,1,27,9,1,0,1,1,934.44537,1773.423,
Lalonde Sample,1,23,10,1,0,1,1,936.4386,11233.26,
Lalonde Sample,1,29,10,1,0,0,1,4398.9502,0,
Lalonde Sample,1,18,12,1,0,0,0,0,2321.1069,
Lalonde Sample,1,38,12,0,0,0,0,0,4941.8491,
Lalonde Sample,1,27,13,1,0,0,0,0,0,
Lalonde Sample,1,27,8,1,0,0,1,0,0,
Lalonde Sample,1,38,11,1,0,0,1,0,0,
Lalonde Sample,1,23,8,0,1,0,1,0,3881.2839,
Lalonde Sample,1,26,11,1,0,0,1,0,17230.961,
Lalonde Sample,1,42,9,1,0,1,1,3058.531,1294.4091,
Lalonde Sample,1,21,12,0,0,0,0,0,8048.603,
Lalonde Sample,1,25,8,1,0,0,1,0,0,
Lalonde Sample,1,31,11,1,0,1,1,0,14509.93,
Lalonde Sample,1,17,10,1,0,0,1,0,0,
Lalonde Sample,1,19,8,1,0,0,1,2657.0569,9970.6807,
Lalonde Sample,1,29,14,1,0,0,0,679.6734,17814.98,
Lalonde Sample,1,25,11,1,0,0,1,0,0,
Lalonde Sample,1,21,12,1,0,0,0,0,9983.7842,
Lalonde Sample,1,44,11,1,0,0,1,0,0,
Lalonde Sample,1,19,10,1,0,0,1,385.27411,8124.7148,
Lalonde Sample,1,25,12,0,0,0,0,0,5587.5029,
Lalonde Sample,1,18,10,1,0,0,1,798.9079,9737.1543,
Lalonde Sample,1,18,9,1,0,0,1,0,4482.8452,
Lalonde Sample,1,19,9,1,0,0,1,798.9079,17685.18,
Lalonde Sample,1,18,9,1,0,0,1,3287.375,5010.3418,
Lalonde Sample,1,26,11,1,0,1,1,1392.853,1460.36,
Lalonde Sample,1,42,12,1,0,0,0,0,2456.1531,
Lalonde Sample,1,25,10,1,0,0,1,0,0,
Lalonde Sample,1,31,9,0,1,0,1,0,26817.6,
Lalonde Sample,1,24,10,1,0,0,1,0,0,
Lalonde Sample,1,26,10,1,0,0,1,0,9265.7881,
Lalonde Sample,1,20,12,1,0,0,0,377.5686,1652.637,
Lalonde Sample,1,19,10,0,0,0,1,5324.1089,13829.62,
Lalonde Sample,1,25,11,1,0,0,1,0,485.2298,
Lalonde Sample,1,23,8,0,0,1,1,1713.15,4232.3091,
Lalonde Sample,1,31,12,0,0,0,0,2611.218,2484.5491,
Lalonde Sample,1,18,11,1,0,0,1,0,4814.627,
Lalonde Sample,1,19,11,1,0,0,1,0,7458.105,
Lalonde Sample,1,43,9,1,0,0,1,0,0,
Lalonde Sample,1,27,13,1,0,0,0,0,34099.281,
Lalonde Sample,1,26,11,0,0,0,1,2226.2661,13385.86,
Lalonde Sample,1,29,10,0,1,0,1,8853.6738,5112.0142,
Lalonde Sample,1,17,9,1,0,0,1,0,1953.2679,
Lalonde Sample,1,30,11,1,0,0,1,0,0,
Lalonde Sample,1,17,10,1,0,0,1,156.9491,10641.24,
Lalonde Sample,1,20,12,0,0,1,0,8644.1563,11656.51,
Lalonde Sample,1,17,9,1,0,0,1,375.10471,3621.707,
Lalonde Sample,1,18,12,1,0,0,0,562.65698,0,
Lalonde Sample,1,21,11,0,1,0,1,1395.39,0,
Lalonde Sample,1,30,11,1,0,0,1,1913.0341,0,
Lalonde Sample,1,18,11,0,1,0,1,5491.5352,2454.5,
Lalonde Sample,1,20,12,1,0,0,0,9227.5586,0,
Lalonde Sample,1,20,6,0,1,1,1,10802.98,4488.4951,
Lalonde Sample,1,20,10,1,0,0,1,11073.09,0,
Lalonde Sample,1,25,8,1,0,0,1,37431.66,2346.8279,
Lalonde Sample,1,17,9,0,0,0,1,1618.15,6011.021,
Lalonde Sample,1,18,10,0,1,0,1,2589.042,0,
Lalonde Sample,1,19,9,0,1,0,1,6511.124,7913.3862,
Lalonde Sample,1,19,11,1,0,0,1,192.7995,661.19238,
Lalonde Sample,1,27,10,0,1,0,1,421.3024,3075.8621,
Lalonde Sample,1,18,12,0,1,0,0,535.55328,1115.86,
Lalonde Sample,1,22,11,1,0,0,1,606.96088,317.8952,
Lalonde Sample,1,20,9,1,0,0,1,660.51593,12229.63,
Lalonde Sample,1,20,11,1,0,0,1,696.21918,0,
Lalonde Sample,1,18,10,1,0,0,1,699.78961,480.52701,
Lalonde Sample,1,17,10,1,0,0,1,856.88641,3251.1001,
Lalonde Sample,1,26,12,1,0,0,0,1088.907,11460.56,
Lalonde Sample,1,22,10,1,0,0,1,1071.108,7315.4521,
Lalonde Sample,1,20,12,1,0,0,0,1160.366,702.1839,
Lalonde Sample,1,18,8,1,0,0,1,1199.641,0,
Lalonde Sample,1,18,9,1,0,0,1,1285.33,15369.48,
Lalonde Sample,1,18,10,1,0,0,1,1371.017,12064.41,
Lalonde Sample,1,19,10,1,0,0,1,1374.587,13278.97,
Lalonde Sample,1,18,9,0,1,0,1,1713.7729,8836.5664,
Lalonde Sample,1,17,10,0,1,0,1,2202.7959,4387.0571,
Lalonde Sample,1,19,11,1,0,0,1,1927.995,11965.81,
Lalonde Sample,1,27,11,1,0,1,1,2142.217,2186.189,
Lalonde Sample,1,19,10,1,0,0,1,3213.113,2975.031,
Lalonde Sample,1,19,9,0,1,0,1,3276.1499,14271.23,
Lalonde Sample,1,27,10,1,0,0,1,3213.322,2094.1189,
Lalonde Sample,1,21,11,1,0,1,1,4167.998,11300.24,
Lalonde Sample,1,29,10,1,0,1,1,4923.2632,130.67909,
Lalonde Sample,1,34,11,0,1,0,1,4641.4668,2877.6819,
Lalonde Sample,1,25,10,0,0,0,1,4712.874,6103.7461,
Lalonde Sample,1,31,13,0,0,0,0,5498.3501,2329.8669,
Lalonde Sample,1,41,9,1,0,1,1,5783.981,0,
Lalonde Sample,1,21,11,0,1,0,1,6658.562,9381.2949,
Lalonde Sample,1,20,11,1,0,0,1,6426.646,16451.461,
Lalonde Sample,1,24,12,0,1,1,0,7212.1099,6485.5078,
Lalonde Sample,1,41,9,1,0,1,1,7212.1201,3154.72,
Lalonde Sample,1,21,12,0,0,0,0,7390.6338,3557.9341,
