persnr,year,employment,chld6,chld16,age,income,husworkhour,husemployment,region,edu,husedu
9401,2008,[1] Employed       1,0,0,48,50682,1923,1,0,13,12
9401,2009,[1] Employed       1,0,0,49,45880,2078,1,0,13,12
9401,2010,[1] Employed       1,0,0,50,48690,2078,1,0,13,12
9401,2011,[1] Employed       1,0,0,51,52832,2494,1,0,13,12
9401,2012,[1] Employed       1,0,0,52,55790,2078,1,0,13,12
13402,2008,[1] Employed       1,0,1,48,56098,2598,1,0,12,12
13402,2009,[1] Employed       1,0,0,49,77432,2598,1,0,12,12
13402,2010,[1] Employed       1,0,0,50,94091,2338,1,0,12,12
13402,2011,[0] Not Employed   0,0,0,51,81552,2598,1,0,12,12
13402,2012,[1] Employed       1,0,0,52,92489,2442,1,0,12,12
13902,2008,[0] Not Employed   0,0,2,48,101679,2598,1,0,12,11.5
13902,2009,[0] Not Employed   0,0,2,49,102537,2598,1,0,12,11.5
13902,2010,[0] Not Employed   0,0,2,50,97063,2494,1,0,12,11.5
13902,2011,[0] Not Employed   0,0,0,51,100800,2598,1,0,12,11.5
13902,2012,[0] Not Employed   0,0,0,52,112301,2598,1,0,12,11.5
19203,2008,[1] Employed       1,0,2,47,29497,2078,1,0,14,18
19203,2009,[1] Employed       1,0,1,48,37131,2078,1,0,14,18
19203,2010,[1] Employed       1,0,1,49,25997,2078,1,0,14,18
19203,2011,[1] Employed       1,0,1,50,29133,2078,1,0,14,18
19203,2012,[1] Employed       1,0,1,51,29397,2078,1,0,14,18
21402,2008,[1] Employed       1,0,0,47,38305,2130,1,0,10,11.5
21402,2009,[1] Employed       1,0,0,48,43392,2130,1,0,10,11.5
21402,2010,[1] Employed       1,0,0,49,46009,2130,1,0,10,11.5
21402,2011,[1] Employed       1,0,0,50,44347,2182,1,0,10,11.5
21402,2012,[1] Employed       1,0,0,51,46826,2130,1,0,10,11.5
22302,2008,[0] Not Employed   0,0,0,48,41999,2338,1,0,12,10.5
22302,2009,[1] Employed       1,0,0,49,28600,2234,1,0,12,10.5
22302,2010,[0] Not Employed   0,0,0,50,30800,2182,1,0,12,10.5
22302,2011,[1] Employed       1,0,0,51,29902,2338,1,0,12,10.5
22302,2012,[1] Employed       1,0,0,52,33800,2598,1,0,12,10.5
22602,2008,[1] Employed       1,0,0,45,48414,2234,1,0,11,11.5
22602,2009,[1] Employed       1,0,0,46,49093,2182,1,0,11,11.5
22602,2010,[1] Employed       1,0,0,47,53038,2338,1,0,11,11.5
22602,2011,[1] Employed       1,0,0,48,49960,2286,1,0,11,11.5
22602,2012,[1] Employed       1,0,0,49,51241,2234,1,0,11,11.5
23906,2008,[1] Employed       1,1,1,36,34531,1819,1,0,10.5,11
23906,2009,[0] Not Employed   0,0,2,37,41531,2319,1,0,10.5,11
23906,2010,[0] Not Employed   0,0,2,38,29331,2078,1,0,10.5,11
23906,2011,[1] Employed       1,0,2,39,34831,2078,1,0,10.5,11
23906,2012,[1] Employed       1,0,2,40,39631,2026,1,0,10.5,11
24204,2008,[1] Employed       1,0,2,38,62515,2598,1,0,10.5,18
24204,2009,[1] Employed       1,0,2,39,50515,2858,1,0,10.5,18
24204,2010,[1] Employed       1,0,2,40,57715,2598,1,0,10.5,18
24204,2011,[1] Employed       1,0,1,41,60300,2338,1,0,10.5,18
24204,2012,[1] Employed       1,0,1,42,54115,2338,1,0,10.5,18
27403,2008,[1] Employed       1,0,1,43,56430,2598,1,0,10.5,10.5
27403,2009,[1] Employed       1,0,1,44,69926,2858,1,0,10.5,10.5
27403,2010,[1] Employed       1,0,1,45,70371,2858,1,0,10.5,10.5
27403,2011,[1] Employed       1,0,1,46,70066,2858,1,0,10.5,10.5
27403,2012,[1] Employed       1,0,0,47,78900,2858,1,0,10.5,10.5
29402,2008,[1] Employed       1,0,1,45,46375,2182,1,0,12,11.5
29402,2009,[1] Employed       1,0,0,46,35503,2182,1,0,12,11.5
29402,2010,[1] Employed       1,0,0,47,51587,2078,1,0,12,11.5
29402,2011,[1] Employed       1,0,0,48,48548,2130,1,0,12,11.5
29402,2012,[1] Employed       1,0,0,49,53565,2182,1,0,12,11.5
32004,2008,[1] Employed       1,1,2,37,53146,2182,1,0,14.5,17
32004,2009,[1] Employed       1,1,2,38,48911,2182,1,0,14.5,17
32004,2010,[0] Not Employed   0,1,2,39,52895,2182,1,0,14.5,17
32004,2011,[0] Not Employed   0,1,2,40,69695,2234,1,0,14.5,17
32004,2012,[0] Not Employed   0,0,2,41,65435,2234,1,0,14.5,17
44703,2008,[0] Not Employed   0,0,2,39,79899,2234,1,0,14.5,16
44703,2009,[0] Not Employed   0,0,2,40,68276,2078,1,0,14.5,16
44703,2010,[1] Employed       1,0,2,41,67119,2182,1,0,14.5,16
44703,2011,[1] Employed       1,0,2,42,66067,2130,1,0,14.5,16
44703,2012,[1] Employed       1,0,2,43,80814,2130,1,0,14.5,16
46701,2008,[1] Employed       1,0,1,46,4712,156,1,0,14.5,13
46701,2009,[1] Employed       1,0,1,47,4660,590,1,0,14.5,13
46701,2010,[1] Employed       1,0,0,48,10232,654,1,0,14.5,13
46701,2011,[1] Employed       1,0,0,49,13184,520,1,0,14.5,13
46701,2012,[1] Employed       1,0,0,50,9002,1559,1,0,14.5,13
47302,2008,[1] Employed       1,0,1,45,58202,2182,1,0,11.5,10.5
47302,2009,[1] Employed       1,0,1,46,60046,1974,1,0,11.5,10.5
47302,2010,[1] Employed       1,0,1,47,61269,2494,1,0,11.5,10.5
47302,2011,[1] Employed       1,0,1,48,56734,2286,1,0,11.5,10.5
47302,2012,[1] Employed       1,0,1,49,55806,2130,1,0,11.5,10.5
47605,2008,[1] Employed       1,1,0,41,80799,2338,1,0,12,15
47605,2009,[1] Employed       1,0,1,42,80542,2598,1,0,12,15
47605,2010,[1] Employed       1,0,1,43,96206,2338,1,0,12,15
47605,2011,[1] Employed       1,0,1,44,86547,2338,1,0,12,15
47605,2012,[1] Employed       1,0,1,45,87142,2338,1,0,12,15
52402,2008,[1] Employed       1,0,0,46,30830,3637,1,0,9,10.5
52402,2009,[1] Employed       1,0,0,47,40870,3118,1,0,9,10.5
52402,2010,[1] Employed       1,0,0,48,39355,3118,1,0,9,10.5
52402,2011,[1] Employed       1,0,0,49,57830,3118,1,0,9,10.5
52402,2012,[1] Employed       1,0,0,50,36650,3118,1,0,9,10.5
52902,2008,[1] Employed       1,0,1,38,40372,2297,1,0,11.5,18
52902,2009,[1] Employed       1,0,1,39,65325,3269,1,0,11.5,18
52902,2010,[1] Employed       1,0,1,40,51600,3353,1,0,11.5,18
52902,2011,[1] Employed       1,0,1,41,90798,3402,1,0,11.5,18
52902,2012,[1] Employed       1,0,1,42,127233,1000,1,0,11.5,18
55903,2008,[1] Employed       1,0,0,42,7822,779,1,0,15,15
55903,2009,[1] Employed       1,0,0,43,22232,1663,1,0,15,15
55903,2010,[1] Employed       1,0,0,44,25320,1923,1,0,15,15
55903,2011,[1] Employed       1,0,0,45,27872,1715,1,0,15,15
55903,2012,[1] Employed       1,0,0,46,27972,1715,1,0,15,15
57204,2008,[1] Employed       1,0,1,41,32672,2858,1,0,12,12
57204,2009,[1] Employed       1,0,0,42,36700,3118,1,0,12,12
57204,2010,[1] Employed       1,0,0,43,37007,3118,1,0,12,12
57204,2011,[1] Employed       1,0,0,44,40948,3118,1,0,12,12
57204,2012,[1] Employed       1,0,0,45,42759,3118,1,0,12,12
59603,2008,[1] Employed       1,1,2,37,37296,1974,1,0,11.5,12
59603,2009,[0] Not Employed   0,1,2,38,52596,2078,1,0,11.5,12
59603,2010,[1] Employed       1,1,2,39,73096,2598,1,0,11.5,12
59603,2011,[1] Employed       1,1,1,40,56343,2338,1,0,11.5,12
59603,2012,[1] Employed       1,1,1,41,70943,2598,1,0,11.5,12
66702,2008,[1] Employed       1,0,0,50,12710,610,1,0,14.5,11.5
66702,2009,[1] Employed       1,0,0,51,13199,312,1,0,14.5,11.5
66702,2010,[1] Employed       1,0,0,52,35279,1039,1,0,14.5,11.5
66702,2011,[1] Employed       1,0,0,53,8411,87,1,0,14.5,11.5
66702,2012,[1] Employed       1,0,0,54,18390,348,1,0,14.5,11.5
68203,2008,[1] Employed       1,0,1,43,40701,2182,1,0,18,12
68203,2009,[1] Employed       1,0,1,44,35396,2338,1,0,18,12
68203,2010,[1] Employed       1,0,1,45,26816,2078,1,0,18,12
68203,2011,[1] Employed       1,0,1,46,62896,2078,1,0,18,12
68203,2012,[1] Employed       1,0,0,47,56547,2026,1,0,18,12
69702,2008,[1] Employed       1,0,1,49,27000,779,1,0,10.5,11.5
69702,2009,[1] Employed       1,0,1,50,29400,1186,1,0,10.5,11.5
69702,2010,[1] Employed       1,0,1,51,23400,0,0,0,10.5,11.5
69702,2011,[1] Employed       1,0,1,52,21650,0,0,0,10.5,11.5
69702,2012,[1] Employed       1,0,1,53,28400,0,0,0,10.5,11.5
70304,2008,[0] Not Employed   0,1,1,45,53458,2078,1,0,16,14.5
70304,2009,[1] Employed       1,1,1,46,59245,2130,1,0,16,14.5
70304,2010,[1] Employed       1,0,2,47,63409,2078,1,0,16,14.5
70304,2011,[1] Employed       1,0,2,48,57585,2078,1,0,16,14.5
70304,2012,[1] Employed       1,0,2,49,62455,2078,1,0,16,14.5
71303,2008,[1] Employed       1,0,2,42,22100,2390,1,0,10.5,10.5
71303,2009,[1] Employed       1,0,2,43,23120,2909,1,0,10.5,10.5
71303,2010,[1] Employed       1,0,2,44,19520,2307,1,0,10.5,10.5
71303,2011,[1] Employed       1,0,2,45,20013,1559,1,0,10.5,10.5
71303,2012,[1] Employed       1,0,2,46,23540,1715,1,0,10.5,10.5
76305,2008,[0] Not Employed   0,0,2,38,45420,2598,1,0,10,14
76305,2009,[1] Employed       1,0,2,39,34754,2598,1,0,10,14
76305,2010,[1] Employed       1,0,1,40,35750,2338,1,0,10,14
76305,2011,[1] Employed       1,0,1,41,40630,2338,1,0,10,14
76305,2012,[1] Employed       1,0,1,42,53000,2390,1,0,10,14
78904,2008,[1] Employed       1,0,0,31,29014,2741,1,0,11.5,13.5
78904,2009,[1] Employed       1,1,0,32,29747,1974,1,0,11.5,13.5
78904,2010,[1] Employed       1,1,0,33,29931,1974,1,0,11.5,13.5
78904,2011,[1] Employed       1,1,0,34,27800,1810,1,0,11.5,13.5
78904,2012,[1] Employed       1,1,0,35,26614,1810,1,0,11.5,13.5
79302,2008,[1] Employed       1,0,0,42,49551,1923,1,0,11.5,10.5
79302,2009,[1] Employed       1,0,0,43,49045,2182,1,0,11.5,10.5
79302,2010,[1] Employed       1,0,0,44,53147,2182,1,0,11.5,10.5
79302,2011,[1] Employed       1,0,0,45,57275,2988,1,0,11.5,10.5
79302,2012,[1] Employed       1,0,0,46,63453,2453,1,0,11.5,10.5
85604,2008,[1] Employed       1,0,1,35,25949,2130,1,0,12,10.5
85604,2009,[1] Employed       1,0,1,36,24590,2078,1,0,12,10.5
85604,2010,[1] Employed       1,0,1,37,23880,2078,1,0,12,10.5
85604,2011,[1] Employed       1,0,1,38,24741,2078,1,0,12,10.5
85604,2012,[1] Employed       1,0,1,39,25341,2078,1,0,12,10.5
88902,2008,[0] Not Employed   0,0,1,46,485288,2338,1,0,12,15
88902,2009,[0] Not Employed   0,0,0,47,494672,2494,1,0,12,15
88902,2010,[0] Not Employed   0,0,0,48,514937,2338,1,0,12,15
88902,2011,[0] Not Employed   0,0,0,49,510434,2338,1,0,12,15
88902,2012,[0] Not Employed   0,0,0,50,524182,2338,1,0,12,15
89104,2008,[1] Employed       1,0,1,44,90930,2026,1,0,14.5,11.5
89104,2009,[1] Employed       1,0,1,45,90213,2026,1,0,14.5,11.5
89104,2010,[1] Employed       1,0,1,46,95230,2078,1,0,14.5,11.5
89104,2011,[1] Employed       1,0,1,47,103492,2078,1,0,14.5,11.5
89104,2012,[1] Employed       1,0,1,48,115231,2078,1,0,14.5,11.5
92203,2008,[1] Employed       1,0,1,46,47833,2026,1,0,12,11
92203,2009,[1] Employed       1,0,1,47,41617,3226,1,0,12,11
92203,2010,[1] Employed       1,0,1,48,49012,3266,1,0,12,11
92203,2011,[1] Employed       1,0,1,49,59750,2026,1,0,12,11
92203,2012,[1] Employed       1,0,1,50,36717,2026,1,0,12,11
93804,2008,[1] Employed       1,0,2,36,10695,1535,1,0,12,10.5
93804,2009,[1] Employed       1,0,2,37,14412,1386,1,0,12,10.5
93804,2010,[1] Employed       1,0,2,38,22812,2302,1,0,12,10.5
93804,2011,[1] Employed       1,0,2,39,22012,2078,1,0,12,10.5
93804,2012,[1] Employed       1,0,2,40,14412,2297,1,0,12,10.5
104603,2008,[0] Not Employed   0,1,1,42,256627,3118,1,0,11.5,11.5
104603,2009,[0] Not Employed   0,1,1,43,176086,2598,1,0,11.5,11.5
104603,2010,[0] Not Employed   0,0,2,44,186627,2078,1,0,11.5,11.5
104603,2011,[0] Not Employed   0,0,2,45,192627,2598,1,0,11.5,11.5
104603,2012,[0] Not Employed   0,0,2,46,180627,2598,1,0,11.5,11.5
108803,2008,[1] Employed       1,0,0,40,29334,1819,1,0,15,10.5
108803,2009,[1] Employed       1,0,0,41,29334,1819,1,0,15,10.5
108803,2010,[1] Employed       1,0,0,42,29334,1819,1,0,15,10.5
108803,2011,[1] Employed       1,0,0,43,29758,1819,1,0,15,10.5
108803,2012,[1] Employed       1,0,0,44,29334,1923,1,0,15,10.5
109702,2008,[1] Employed       1,0,0,48,27113,2026,1,0,10.5,10.5
109702,2009,[1] Employed       1,0,0,49,27113,2026,1,0,10.5,10.5
109702,2010,[1] Employed       1,0,0,50,28353,2026,1,0,10.5,10.5
109702,2011,[1] Employed       1,0,0,51,30833,1974,1,0,10.5,10.5
109702,2012,[1] Employed       1,0,0,52,30833,2026,1,0,10.5,10.5
111103,2008,[1] Employed       1,0,2,39,81521,2338,1,0,12,15
111103,2009,[1] Employed       1,0,2,40,87210,2338,1,0,12,15
111103,2010,[1] Employed       1,0,2,41,75110,2494,1,0,12,15
111103,2011,[1] Employed       1,0,2,42,77900,2390,1,0,12,15
111103,2012,[1] Employed       1,0,2,43,82810,2130,1,0,12,15
114702,2008,[1] Employed       1,0,1,46,42842,2078,1,0,12,14
114702,2009,[1] Employed       1,0,1,47,54202,2078,1,0,12,14
114702,2010,[1] Employed       1,0,0,48,48426,2078,1,0,12,14
114702,2011,[1] Employed       1,0,0,49,48542,2078,1,0,12,14
114702,2012,[1] Employed       1,0,0,50,56042,2078,1,0,12,14
116902,2008,[0] Not Employed   0,0,0,47,33091,2338,1,0,10.5,12
116902,2009,[0] Not Employed   0,0,0,48,35791,2598,1,0,10.5,12
116902,2010,[0] Not Employed   0,0,0,49,34411,2286,1,0,10.5,12
116902,2011,[0] Not Employed   0,0,0,50,35611,2338,1,0,10.5,12
116902,2012,[0] Not Employed   0,0,0,51,36091,2234,1,0,10.5,12
125904,2008,[0] Not Employed   0,1,0,32,40294,1559,1,0,13,15
125904,2009,[1] Employed       1,1,0,33,44302,1819,1,0,13,15
125904,2010,[1] Employed       1,1,0,34,42888,2390,1,0,13,15
125904,2011,[1] Employed       1,1,0,35,43443,2234,1,0,13,15
125904,2012,[1] Employed       1,0,2,36,38956,2026,1,0,13,15
128603,2008,[1] Employed       1,0,1,45,72209,2078,1,0,11.5,11.5
128603,2009,[1] Employed       1,0,1,46,57021,2078,1,0,11.5,11.5
128603,2010,[1] Employed       1,0,0,47,74494,2338,1,0,11.5,11.5
128603,2011,[1] Employed       1,0,0,48,84877,1974,1,0,11.5,11.5
128603,2012,[1] Employed       1,0,0,49,68483,2078,1,0,11.5,11.5
129703,2008,[1] Employed       1,0,2,42,41900,2286,1,0,13.5,11.5
129703,2009,[1] Employed       1,0,2,43,41321,2234,1,0,13.5,11.5
129703,2010,[1] Employed       1,0,2,44,41321,2234,1,0,13.5,11.5
129703,2011,[1] Employed       1,0,1,45,43121,2390,1,0,13.5,11.5
129703,2012,[1] Employed       1,0,0,46,46860,2234,1,0,13.5,11.5
130304,2008,[1] Employed       1,0,0,50,43084,2130,1,0,12,11.5
130304,2009,[1] Employed       1,0,0,51,44182,2026,1,0,12,11.5
130304,2010,[1] Employed       1,0,0,52,45815,2130,1,0,12,11.5
130304,2011,[0] Not Employed   0,0,0,53,46437,2130,1,0,12,11.5
130304,2012,[0] Not Employed   0,0,0,54,46527,2078,1,0,12,11.5
130802,2008,[1] Employed       1,0,1,43,40856,2338,1,0,14,10.5
130802,2009,[1] Employed       1,0,1,44,41800,2182,1,0,14,10.5
130802,2010,[1] Employed       1,0,1,45,39014,2316,1,0,14,10.5
130802,2011,[1] Employed       1,0,0,46,44303,2182,1,0,14,10.5
130802,2012,[1] Employed       1,0,0,47,42400,2182,1,0,14,10.5
132802,2008,[1] Employed       1,0,0,50,70220,2026,1,0,9,10.5
132802,2009,[1] Employed       1,0,0,51,72820,2026,1,0,9,10.5
132802,2010,[1] Employed       1,0,0,52,57220,2078,1,0,9,10.5
132802,2011,[1] Employed       1,0,0,53,39270,2026,1,0,9,10.5
132802,2012,[1] Employed       1,0,0,54,60795,2078,1,0,9,10.5
135903,2008,[1] Employed       1,0,0,40,44822,2338,1,0,11.5,13.5
135903,2009,[1] Employed       1,0,0,41,46971,2338,1,0,11.5,13.5
135903,2010,[1] Employed       1,0,0,42,48189,2286,1,0,11.5,13.5
135903,2011,[1] Employed       1,0,0,43,50878,2390,1,0,11.5,13.5
135903,2012,[1] Employed       1,0,0,44,43788,2130,1,0,11.5,13.5
136604,2008,[1] Employed       1,0,0,36,48512,2338,1,0,17,16
136604,2009,[1] Employed       1,0,0,37,56995,2598,1,0,17,16
136604,2010,[1] Employed       1,0,0,38,65306,2182,1,0,17,16
136604,2011,[1] Employed       1,0,0,39,68143,2078,1,0,17,16
136604,2012,[1] Employed       1,0,0,40,70307,2494,1,0,17,16
138903,2008,[1] Employed       1,1,2,44,84487,2338,1,0,18,18
138903,2009,[1] Employed       1,1,2,45,92341,2338,1,0,18,18
138903,2010,[1] Employed       1,0,3,46,92031,2338,1,0,18,18
138903,2011,[0] Not Employed   0,0,2,47,101844,2286,1,0,18,18
138903,2012,[0] Not Employed   0,0,2,48,93065,2182,1,0,18,18
143304,2008,[0] Not Employed   0,0,1,45,42667,2286,1,0,12,10
143304,2009,[0] Not Employed   0,0,0,46,45269,2130,1,0,12,10
143304,2010,[0] Not Employed   0,0,0,47,49797,2338,1,0,12,10
143304,2011,[0] Not Employed   0,0,0,48,47774,2286,1,0,12,10
143304,2012,[0] Not Employed   0,0,0,49,46201,2390,1,0,12,10
145702,2008,[1] Employed       1,1,1,43,53537,2078,1,0,18,18
145702,2009,[1] Employed       1,1,2,44,34716,2078,1,0,18,18
145702,2010,[1] Employed       1,1,2,45,40909,1819,1,0,18,18
145702,2011,[1] Employed       1,0,3,46,35675,2078,1,0,18,18
145702,2012,[1] Employed       1,0,3,47,45749,1819,1,0,18,18
146102,2008,[0] Not Employed   0,0,0,50,103726,3118,1,0,10.5,10.5
146102,2009,[0] Not Employed   0,0,0,51,117091,2858,1,0,10.5,10.5
146102,2010,[0] Not Employed   0,0,0,52,127492,2858,1,0,10.5,10.5
146102,2011,[0] Not Employed   0,0,0,53,144379,2858,1,0,10.5,10.5
146102,2012,[0] Not Employed   0,0,0,54,150696,2858,1,0,10.5,10.5
147101,2008,[1] Employed       1,0,0,47,85717,2858,1,0,16,18
147101,2009,[1] Employed       1,0,0,48,90004,2598,1,0,16,18
147101,2010,[1] Employed       1,0,0,49,88504,2338,1,0,16,18
147101,2011,[1] Employed       1,0,0,50,82604,2494,1,0,16,18
147101,2012,[1] Employed       1,0,0,51,84004,2338,1,0,16,18
155002,2008,[0] Not Employed   0,0,2,46,72458,1974,1,0,12,16
155002,2009,[0] Not Employed   0,0,2,47,71080,2078,1,0,12,16
155002,2010,[0] Not Employed   0,0,1,48,88250,2182,1,0,12,16
155002,2011,[0] Not Employed   0,0,1,49,77610,2234,1,0,12,16
155002,2012,[0] Not Employed   0,0,1,50,80050,2338,1,0,12,16
155204,2008,[1] Employed       1,1,0,30,51773,2598,1,0,18,18
155204,2009,[1] Employed       1,1,0,31,38637,2598,1,0,18,18
155204,2010,[1] Employed       1,1,0,32,50000,2598,1,0,18,18
155204,2011,[1] Employed       1,0,1,33,42735,2598,1,0,18,18
155204,2012,[1] Employed       1,1,1,34,51050,2910,1,0,18,18
157203,2008,[1] Employed       1,0,0,41,52464,2078,1,0,11.5,12
157203,2009,[1] Employed       1,0,0,42,54349,2338,1,0,11.5,12
157203,2010,[1] Employed       1,0,0,43,57443,2078,1,0,11.5,12
157203,2011,[1] Employed       1,0,0,44,53804,2078,1,0,11.5,12
157203,2012,[1] Employed       1,0,0,45,58565,2078,1,0,11.5,12
162702,2008,[1] Employed       1,0,0,41,49883,2182,1,0,10.5,10.5
162702,2009,[1] Employed       1,0,0,42,43186,2327,1,0,10.5,10.5
162702,2010,[1] Employed       1,0,0,43,26279,2078,1,0,10.5,10.5
162702,2011,[1] Employed       1,0,0,44,14642,1152,1,0,10.5,10.5
162702,2012,[1] Employed       1,0,0,45,31342,2078,1,0,10.5,10.5
163402,2008,[0] Not Employed   0,0,0,46,59521,2026,1,0,10.5,10.5
163402,2009,[0] Not Employed   0,0,0,47,55321,2026,1,0,10.5,10.5
163402,2010,[1] Employed       1,0,0,48,55721,2026,1,0,10.5,10.5
163402,2011,[1] Employed       1,0,0,49,61050,2078,1,0,10.5,10.5
163402,2012,[1] Employed       1,0,0,50,60700,2026,1,0,10.5,10.5
166004,2008,[1] Employed       1,0,3,49,84650,2338,1,0,11.5,11.5
166004,2009,[0] Not Employed   0,0,2,50,87500,2494,1,0,11.5,11.5
166004,2010,[0] Not Employed   0,0,1,51,88500,2494,1,0,11.5,11.5
166004,2011,[0] Not Employed   0,0,1,52,93300,2598,1,0,11.5,11.5
166004,2012,[0] Not Employed   0,0,1,53,95100,2598,1,0,11.5,11.5
